timestamp,operation,controller,details,username,status
Tue May 21 00:11:46 EEST 2019,READ,controller.MedicController,User reads all medics with specialization=neuro,,OK
Tue May 21 00:11:52 EEST 2019,UPDATE,controller.PatientController,Patient sends request to medic with id=3,bogdan,OK
Tue May 21 00:27:25 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,patient1,OK
Tue May 21 00:27:25 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 00:27:25 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:27:25 EEST 2019,READ,controller.MedicController,User reads medic with id=1,,OK
Tue May 21 00:28:29 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,patient,UNAUTHORIZED
Tue May 21 00:28:32 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,patient1,OK
Tue May 21 00:28:32 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 00:28:32 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:28:32 EEST 2019,READ,controller.MedicController,User reads medic with id=1,,OK
Tue May 21 00:29:32 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,patient1,OK
Tue May 21 00:29:33 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 00:29:33 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:29:33 EEST 2019,READ,controller.MedicController,User reads medic with id=1,,OK
Tue May 21 00:30:04 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,patient1,OK
Tue May 21 00:30:04 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 00:30:04 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 00:30:04 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:30:04 EEST 2019,READ,controller.MedicController,User reads medic with id=1,,OK
Tue May 21 00:31:25 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,patient1,OK
Tue May 21 00:31:25 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 00:31:25 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 00:31:25 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:31:25 EEST 2019,READ,controller.MedicController,User reads medic with id=1,,OK
Tue May 21 00:31:25 EEST 2019,READ,controller.CaseController,Read case with id=1,patient1,OK
Tue May 21 00:36:00 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,patient1,OK
Tue May 21 00:36:00 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 00:36:00 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 00:36:00 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:36:00 EEST 2019,READ,controller.MedicController,User reads medic with id=1,,OK
Tue May 21 00:36:00 EEST 2019,READ,controller.CaseController,Read case with id=1,patient1,OK
Tue May 21 00:36:27 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,patient1,OK
Tue May 21 00:36:27 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 00:36:27 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 00:36:27 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:36:28 EEST 2019,READ,controller.MedicController,User reads medic with id=1,,OK
Tue May 21 00:36:28 EEST 2019,READ,controller.CaseController,Read case with id=1,patient1,OK
Tue May 21 00:40:11 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,patient1,OK
Tue May 21 00:40:11 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 00:40:11 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 00:40:11 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 00:40:11 EEST 2019,READ,controller.MedicController,User reads medic with id=1,,OK
Tue May 21 00:40:11 EEST 2019,READ,controller.CaseController,Read case with id=1,patient1,OK
Tue May 21 00:40:19 EEST 2019,CREATE,controller.CaseController,Patient creates case,patient1,OK
